Song,Band,Album,Track ID,Popularity,Preview URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
Amanda,Boston,Third Stage,4gpext9x0CbdD9NWaa4nDj,65,,0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494,audio_features,256200,4
Hip To Be Square,Huey Lewis & The News,Fore!,648BMGrt98kUbLo24A4vgj,66,,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000347,0.139,0.963,140.873,audio_features,245467,4
Don’t Get Me Wrong (In the Style of Pretenders),The Hit Collective,Hit Collective Presents 80s Chill Out Vol. 2,5voGpC2KVAjcOmcyXluw2Z,4,https://p.scdn.co/mp3-preview/fa5e72194f56ebd02ae61de73abd5c73d9937558?cid=3502c8805da84b25aa0305556012150b,0.491,0.358,0,-9.394,1,0.0358,0.478,0.0,0.344,0.509,91.9,audio_features,203032,4
I Want To Make The World Turn Around,Steve Miller Band,Living In The 20th Century,1mhVkWg8LBX6SWnVyZv4uN,36,,0.525,0.646,4,-15.121,0,0.0363,0.451,0.0035,0.0961,0.671,76.202,audio_features,266600,4
It's in the Way That You Use It,Eric Clapton,August,02FvigqN15ekfiaR42pJHu,52,https://p.scdn.co/mp3-preview/9dc7a61615e16d70ee3b96fcda7c9c834eb040a7?cid=3502c8805da84b25aa0305556012150b,0.534,0.925,1,-5.004,0,0.0392,0.108,0.0303,0.0634,0.88,200.75,audio_features,251453,4
My Baby,The Chain Gang,Back On The Chain Gang-The Ultimate Tribute To The Pretenders,515k80aqYncsaKAymv2FvB,0,https://p.scdn.co/mp3-preview/7ec88f889237a757b4caf77b1d7c0fc35c5c85d7?cid=3502c8805da84b25aa0305556012150b,0.519,0.906,4,-7.132,1,0.0667,0.0129,0.108,0.0586,0.806,183.889,audio_features,247458,4
Livin' On A Prayer,Bon Jovi,Slippery When Wet,37ZJ0p5Jm13JPevGcx4SkF,89,,0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,audio_features,249293,4
Midnight Blue,Lou Gramm,Ready Or Not,4iQZi2sMZlbTpcUlo5YGBf,55,https://p.scdn.co/mp3-preview/b1392fd6b153adf0e165076e32d1000d1e5c0e3a?cid=3502c8805da84b25aa0305556012150b,0.641,0.836,0,-7.155,1,0.0284,0.105,0.0335,0.0714,0.659,113.758,audio_features,234693,4
I'm No Angel,The Gregg Allman Band,I'm No Angel,2Yt2u7vNSCkPUy1awRFSPV,53,https://p.scdn.co/mp3-preview/31adb47a26f42aba55256f20b5f2486b0f87a547?cid=3502c8805da84b25aa0305556012150b,0.621,0.773,4,-12.157,1,0.0475,0.144,0.0,0.161,0.856,140.748,audio_features,222893,4
With Or Without You,U2,The Joshua Tree (Super Deluxe),6ADSaE87h8Y3lccZlBJdXH,83,,0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,audio_features,295516,4
Jammin' Me,Tom Petty and the Heartbreakers,Let Me Up (I've Had Enough),2AFJkvRUFVx0MccykGaHV2,44,,0.689,0.732,9,-11.391,1,0.0294,0.0325,4.08e-05,0.303,0.938,123.479,audio_features,249093,4
Shakedown,Bob Seger,Greatest Hits 2,303oOLP2Jf6M4rke52qItM,52,,0.571,0.944,2,-5.365,1,0.072,0.0323,3.26e-06,0.308,0.498,170.696,audio_features,241947,4
Don't Mean Nothing,Richard Marx,Richard Marx,4ujVRZd9HdjepbpWSddABF,44,,0.673,0.765,5,-10.615,1,0.0256,0.0439,3.43e-05,0.107,0.779,98.241,audio_features,281533,4
Give To Live,Sammy Hagar,I Never Said Goodbye,0R8vaqcl7316PnMAWFTSK3,43,,0.423,0.63,2,-9.778,1,0.0312,0.0129,5.86e-06,0.0479,0.393,153.945,audio_features,264093,4
Touch of Grey - 2013 Remaster,Grateful Dead,In the Dark,0mJQlCl9YgxW7kyeltNiVk,61,https://p.scdn.co/mp3-preview/2e7afc8b5725d2f3bbe8608c03f9e927889531a0?cid=3502c8805da84b25aa0305556012150b,0.612,0.696,11,-11.34,1,0.0353,0.0785,9.4e-06,0.14,0.849,159.829,audio_features,350862,4
Paper In Fire,John Mellencamp,The Lonesome Jubilee,3fbVtEI5leNfYKvL7FxDz1,55,,0.607,0.905,4,-4.748,1,0.0427,0.00122,0.000276,0.0624,0.533,141.984,audio_features,231200,4
Learning To Fly - 2011 Remastered Version,Pink Floyd,A Momentary Lapse Of Reason (2011 Remastered Version),50MzABA1g2Ks2KWRA09TOe,61,https://p.scdn.co/mp3-preview/51d3cb48ba7a15886067afa4df37eb462920efa4?cid=3502c8805da84b25aa0305556012150b,0.441,0.56,0,-13.681,1,0.0361,0.25,0.0296,0.151,0.476,166.585,audio_features,292080,4
Brilliant Disguise,Bruce Springsteen,Tunnel Of Love,0nqbZ17t9v52SCemAm1QP0,61,https://p.scdn.co/mp3-preview/da90ad438fa2c74b89e49ffce479cf24092676df?cid=3502c8805da84b25aa0305556012150b,0.703,0.726,9,-12.438,1,0.029,0.152,1.45e-06,0.0319,0.949,126.353,audio_features,254840,4
Love Will Find a Way,Yes,Big Generator,5B8sDKrg4VN8etjH0vFz40,52,https://p.scdn.co/mp3-preview/7caa34ce4d463471feec0448555c55ca493cae63?cid=3502c8805da84b25aa0305556012150b,0.593,0.887,11,-7.359,0,0.0318,0.195,0.00047,0.332,0.669,118.402,audio_features,289733,4
Cherry Bomb,John Mellencamp,The Lonesome Jubilee,43oPpqzWPSZmeiwYicmzjG,64,,0.744,0.945,7,-3.266,1,0.0286,0.0509,1.41e-06,0.0435,0.961,113.882,audio_features,287107,4
Tunnel of Love,Bruce Springsteen,Tunnel Of Love,2rUHBIfbMBB92n1gSfSqwF,51,https://p.scdn.co/mp3-preview/be175327fdf391a3f210dbded646d6cbcc78f8ab?cid=3502c8805da84b25aa0305556012150b,0.587,0.675,5,-11.787,1,0.0366,0.0501,0.00243,0.479,0.664,116.954,audio_features,309760,4
Say You Will,Foreigner,Inside Information,5nW7RbN0mBLPts9CURNwdy,56,https://p.scdn.co/mp3-preview/524dbf53d23047e5092f786b4bf949c1fb555ca8?cid=3502c8805da84b25aa0305556012150b,0.72,0.72,3,-7.383,0,0.0264,0.195,0.0,0.0448,0.636,126.041,audio_features,255653,4
On The Turning Away - 2011 Remastered Version,Pink Floyd,A Momentary Lapse Of Reason (2011 Remastered Version),0R797G9o4tkDfRZj6KMnHS,55,https://p.scdn.co/mp3-preview/f86bf21e16c674b3692883f348a79a4652a266e1?cid=3502c8805da84b25aa0305556012150b,0.451,0.402,7,-12.135,1,0.0297,0.365,0.000746,0.076,0.244,100.411,audio_features,341667,4
Just Like Paradise,David Lee Roth,Skyscraper,5ZY7Gug850kv4heJcWZGHM,58,https://p.scdn.co/mp3-preview/c396888d3b5fa3d42af101fe4e4d4022087718f8?cid=3502c8805da84b25aa0305556012150b,0.611,0.853,2,-4.983,1,0.034,0.0219,0.0,0.671,0.376,135.558,audio_features,243280,4
Heaven Knows - 2006 Remaster,Robert Plant,Now and Zen,6A9TbHS2QhP4LcAOxP2jDU,42,https://p.scdn.co/mp3-preview/e2f8fa318a388a111a3d38c84bd606314c657ac4?cid=3502c8805da84b25aa0305556012150b,0.672,0.77,0,-6.249,1,0.0258,0.0105,0.391,0.105,0.913,110.167,audio_features,245453,4
I Wish I Had a Girl,Henry Lee Summer,Henry Lee Summer,6WoN3Qbw1FfayeJy09rFzR,40,https://p.scdn.co/mp3-preview/b3a45a0537e3257227c1b3cece405df3d7de2c65?cid=3502c8805da84b25aa0305556012150b,0.636,0.594,9,-10.56,1,0.0276,0.06,0.0,0.351,0.86,127.702,audio_features,264427,4
Tall Cool One - 2006 Remaster,Robert Plant,Now and Zen,6vejDalRlBqPrr7s3iwi9U,41,https://p.scdn.co/mp3-preview/eb94f554c0a8c324eb3cc15dc832f601ab4e0e25?cid=3502c8805da84b25aa0305556012150b,0.614,0.93,11,-4.977,0,0.0648,0.00515,0.00297,0.264,0.508,159.262,audio_features,278520,4
Only A Memory,The Smithereens,Green Thoughts,4QlKsURJWveSH9C8pLQKWq,30,,0.445,0.801,8,-13.414,0,0.0446,0.225,0.088,0.0778,0.619,132.557,audio_features,223293,4
The Valley Road - Remastered,Bruce Hornsby and the Range,Greatest Radio Hits,3RSj3dsAtM8bv85qvt56S0,33,https://p.scdn.co/mp3-preview/c652cefa0a9c5fe82e2dbd5fbb1e255b3752e025?cid=3502c8805da84b25aa0305556012150b,0.621,0.696,2,-5.175,1,0.0288,0.439,0.0171,0.0865,0.539,126.186,audio_features,282413,4
Black and Blue,Van Halen,OU812,1pTwuIHq5FAqfCxzNOn5QG,32,https://p.scdn.co/mp3-preview/8a8bc23ab96ce23535f5fcdcb41885a1484220df?cid=3502c8805da84b25aa0305556012150b,0.449,0.61,9,-13.766,1,0.0417,0.285,0.253,0.0716,0.61,100.269,audio_features,326800,4
Roll With It,Steve Winwood,Roll With It,2QlPByrmEO9XciNBXCrawR,53,,0.759,0.645,0,-13.352,1,0.0276,0.07,0.0403,0.0986,0.954,117.254,audio_features,320733,4
When It's Love,Van Halen,OU812,2rxePraWVAXyZRHVW1ICss,52,https://p.scdn.co/mp3-preview/07a07b17c60ae088d7c946c9fc580c3081ddd7f2?cid=3502c8805da84b25aa0305556012150b,0.562,0.63,2,-12.332,1,0.0255,0.0483,0.000102,0.0926,0.402,99.369,audio_features,339840,4
Simply Irresistible,Robert Palmer,Heavy Nova (Bonus Tracks Version),7mmhMfqs3knRMMlvnMPTHn,56,https://p.scdn.co/mp3-preview/34714985a2fcaf0aadce9671e74c413901e69c98?cid=3502c8805da84b25aa0305556012150b,0.645,0.933,9,-6.955,1,0.0532,0.129,1.03e-05,0.0443,0.695,142.615,audio_features,254293,4
Hate to Lose Your Lovin',Little Feat,Let It Roll,3scWTAq8b0yc1401KisagB,34,https://p.scdn.co/mp3-preview/fdb48d43d3dcf8759e5d7cea45720a2e65d4584f?cid=3502c8805da84b25aa0305556012150b,0.569,0.82,7,-7.382,1,0.0362,0.176,0.0012,0.0521,0.962,174.115,audio_features,262667,4
Don't You Know What The Night Can Do?,Steve Winwood,Roll With It,5Pm6zNr7i5606OzSc3vs4v,34,,0.597,0.381,0,-17.251,1,0.0355,0.223,0.00108,0.0623,0.556,171.983,audio_features,415333,4
I'm Not Your Man - Single Version,Tommy Conwell,Rumble,1OTA6FPVaEI8Q1io4hvR93,22,https://p.scdn.co/mp3-preview/30233e0ca1a592d5ec17979dbcb58b1d252e753c?cid=3502c8805da84b25aa0305556012150b,0.585,0.798,1,-9.446,1,0.0334,0.628,0.0,0.195,0.827,116.921,audio_features,256533,4
Desire,U2,Rattle And Hum,4D01oA1mGouaAT7fubvKRT,63,,0.49,0.827,8,-9.481,1,0.0482,0.000212,0.00406,0.112,0.626,108.577,audio_features,179360,4
It's Money That Matters,Randy Newman,Land of Dreams,5gUQPTljjDnEkpYPZ3ZvAP,26,https://p.scdn.co/mp3-preview/0476582cd61ec03c72a3474a62aea7350a68ed40?cid=3502c8805da84b25aa0305556012150b,0.725,0.576,2,-13.247,1,0.0298,0.0485,0.00406,0.066,0.757,124.648,audio_features,247800,4
Orange Crush - Remastered 2013,R.E.M.,Green (Remastered),7sNhXWrg9eW3qRqeuePaIC,65,,0.568,0.701,9,-10.453,1,0.04,0.000613,0.00258,0.17,0.638,120.678,audio_features,231640,4
Angel Of Harlem,U2,Rattle And Hum,7iBav4v8maicL8cWKGxFhQ,56,,0.519,0.694,0,-10.792,1,0.0264,0.104,2.3e-06,0.111,0.928,102.718,audio_features,229267,4
Got It Made,"Crosby, Stills, Nash & Young",American Dream,7pax4grXoXIF5F2XbO7Y1E,7,https://p.scdn.co/mp3-preview/0f1ac0dc3468c9acd13da789d01002e29af8497c?cid=3502c8805da84b25aa0305556012150b,0.716,0.521,0,-14.635,1,0.0295,0.127,5.29e-06,0.122,0.845,120.461,audio_features,296467,4
The Love In Your Eyes,Eddie Money,Nothing to Lose,7AZoALrknj7D1slaR7BWYC,21,https://p.scdn.co/mp3-preview/0f60e8e96fa4fb37154a65914b0e08b53070647c?cid=3502c8805da84b25aa0305556012150b,0.627,0.712,0,-12.371,1,0.0406,0.156,1.48e-06,0.424,0.718,97.921,audio_features,246627,4
Stand - Remastered 2013,R.E.M.,Green (Remastered),22UhQSbYimuCnvI0Y07gFX,59,,0.653,0.738,4,-10.057,1,0.0285,0.397,0.0,0.0931,0.932,109.322,audio_features,192960,4
Driven Out,The Fixx,Then and Now,3EHdFNdrvgNpq6vn3EV19G,0,,0.563,0.683,4,-7.605,0,0.0275,0.000151,0.00281,0.312,0.638,127.0,audio_features,374760,4
Working on It,Chris Rea,New Light Through Old Windows,2fCXGyWLazfdiChzAkm6Wq,40,https://p.scdn.co/mp3-preview/8a25444aa315e24043de4a75a4354015ddfb76a0?cid=3502c8805da84b25aa0305556012150b,0.57,0.815,4,-11.413,1,0.0676,0.22,4.23e-05,0.444,0.329,127.693,audio_features,265227,4
I'll Be You - 2008 Remaster,The Replacements,Don't Tell a Soul (Expanded),4J5VFtuLhbgKhz6UKkABXR,42,https://p.scdn.co/mp3-preview/a2d217e9bdbceaa084d0845d61d2b05075899c32?cid=3502c8805da84b25aa0305556012150b,0.591,0.86,7,-5.986,1,0.0319,0.0058,1.31e-05,0.411,0.6,129.412,audio_features,209387,4
Now You're In Heaven,Julian Lennon,Mr Jordan,36WIzCl50ssu8Ee3Szcv3Q,29,,0.629,0.91,2,-8.572,1,0.0312,0.409,0.000261,0.0665,0.808,128.237,audio_features,219373,4
I Won't Back Down,Tom Petty,Full Moon Fever,7gSQv1OHpkIoAdUiRLdmI6,79,,0.765,0.476,7,-13.487,1,0.0329,0.0504,2.76e-06,0.165,0.965,114.02,audio_features,178360,4
The Doctor,The Doobie Brothers,Cycles,5Qb7gx7gcxsYi3l7FHHm56,45,,0.567,0.916,3,-7.263,1,0.0457,0.0134,0.00108,0.0691,0.748,148.011,audio_features,225853,4
Rooms on Fire,Stevie Nicks,The Other Side of the Mirror,0QVlQTzp10Tj4Xql9ZRJzo,59,https://p.scdn.co/mp3-preview/eb86017ded18b632ced12812a622b5796569d52a?cid=3502c8805da84b25aa0305556012150b,0.615,0.921,9,-4.676,0,0.041,0.0731,0.000179,0.443,0.744,126.947,audio_features,274520,4
Runnin' Down A Dream,Tom Petty,The Best Of Everything - The Definitive Career Spanning Hits Collection 1976-2016,5yAu4njFSdM47dfsTkQPZ2,73,,0.471,0.956,9,-6.371,1,0.0403,0.000596,0.62,0.624,0.715,169.798,audio_features,261813,4
The End Of The Innocence,Don Henley,The End Of The Innocence,3NWcFiL6oCEagrFiTdDr1m,63,,0.623,0.425,8,-13.045,1,0.0291,0.306,8.65e-05,0.108,0.392,116.593,audio_features,315307,4
Crossfire,Stevie Ray Vaughan,In Step,0jlLHrrb4aR9evd3ZwNs5I,54,https://p.scdn.co/mp3-preview/a42afaf58d86c2917fc2fdb687f7b25b248dbbb9?cid=3502c8805da84b25aa0305556012150b,0.477,0.6,8,-11.833,1,0.0348,0.134,0.00478,0.0416,0.921,115.925,audio_features,248893,4
Let The Day Begin,The Call,Winning Combinations,5lDNkOxzeedHFqA5O4fGBi,23,,0.55,0.868,2,-9.936,1,0.0668,0.042,0.00755,0.0995,0.362,124.148,audio_features,229840,4
Free Fallin',Tom Petty,Full Moon Fever,5tVA6TkbaAH9QMITTQRrNv,81,,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,256000,4
Mixed Emotions - Remastered 2009,The Rolling Stones,Steel Wheels (Remastered 2009),6fKQblT3h0U2ydiDbnsyfa,48,,0.493,0.956,7,-4.257,1,0.0429,0.0995,0.000295,0.83,0.831,137.091,audio_features,278107,4
Love In An Elevator - Single Version,Aerosmith,Big Ones,1l6DV8qhmCdgOKLSAFzPOe,58,,0.449,0.961,4,-4.305,1,0.0701,0.00854,0.00276,0.343,0.602,93.956,audio_features,321827,4
Rock And A Hard Place,The Rolling Stones,Steel Wheels (Remastered 2009),7aZB40a3Zydggr8wJf1lhO,42,,0.598,0.957,9,-4.391,0,0.0451,0.00934,5.36e-05,0.0902,0.864,129.082,audio_features,324493,4
Pretending,Eric Clapton,Journeyman,2Ua9IR5sciWQfoWCfB9iks,45,https://p.scdn.co/mp3-preview/2e61d63eac55a3f779adfc9fcff44609547e5364?cid=3502c8805da84b25aa0305556012150b,0.605,0.874,9,-6.211,1,0.0302,0.169,0.000686,0.0681,0.663,98.421,audio_features,283280,4
Show Don't Tell - 2004 Remaster,Rush,Presto,7kyZkuQ6syH7mvANlbJiXe,38,https://p.scdn.co/mp3-preview/7261858d2e79fb36724e7dacfa4cf919c0a1de43?cid=3502c8805da84b25aa0305556012150b,0.586,0.785,0,-10.614,1,0.034,0.00248,0.0861,0.0777,0.543,115.788,audio_features,300467,4
Downtown Train,Rod Stewart,If We Fall in Love Tonight,5XJzh2c0roCc6GDs8PrILx,55,https://p.scdn.co/mp3-preview/f2a3ceb8fedc29e6d6469cc2750d39ecc7ab457c?cid=3502c8805da84b25aa0305556012150b,0.527,0.584,10,-7.965,1,0.0314,0.0878,0.000103,0.117,0.271,114.941,audio_features,279413,4
Bad Love,Eric Clapton,Journeyman,185dxn5sEgOnBX5iwCDHkp,47,https://p.scdn.co/mp3-preview/9fc2fc61721c0b6237ea710ad47b219e469cbc54?cid=3502c8805da84b25aa0305556012150b,0.561,0.869,7,-7.834,1,0.0496,0.282,0.00105,0.588,0.437,124.642,audio_features,308747,4
Black Velvet,Alannah Myles,Alannah Myles,1KU5EHSz04JhGg3rReGJ0N,75,https://p.scdn.co/mp3-preview/09f97bb3af30621cf2b7a7bef842a69c99250f8a?cid=3502c8805da84b25aa0305556012150b,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,287440,4
What It Takes,Aerosmith,Big Ones,2fAYTT9kcUm8tnUrhD80sC,59,,0.522,0.738,0,-6.423,1,0.031,0.0286,5.8e-06,0.4,0.461,142.702,audio_features,310533,4
Almost Hear You Sigh - Remastered,The Rolling Stones,Steel Wheels (Remastered 2009),2r41JRUZ5Cjcx98ARVI0vo,46,,0.648,0.815,1,-5.391,0,0.0232,0.275,0.000193,0.076,0.759,102.259,audio_features,277467,4
Blue Sky Mine - 2011 Remaster,Midnight Oil,Blue Sky Mining (Remastered),6z9ehfxE973fOlKJKNJL2x,60,https://p.scdn.co/mp3-preview/77957a381e920c6541bbab0842bd9ca2d9799729?cid=3502c8805da84b25aa0305556012150b,0.631,0.852,1,-3.181,1,0.029,0.0601,0.000102,0.144,0.834,132.018,audio_features,255600,4
Hurting Kind (I've Got My Eyes on You) - 2006 Remaster,Robert Plant,Manic Nirvana,3OmJpNqoJtxO3leWJkk53O,40,https://p.scdn.co/mp3-preview/02b79bb9d932598f18d593eb42824dfe382cdc6f?cid=3502c8805da84b25aa0305556012150b,0.524,0.924,9,-6.862,1,0.0711,0.000548,0.00327,0.342,0.521,159.212,audio_features,251160,4
Coming of Age,Damn Yankees,Damn Yankees,1VMqkvlOqaH0HP0nsj1bx5,49,https://p.scdn.co/mp3-preview/1430a986e994c266abf60335d33027ece9ed34c4?cid=3502c8805da84b25aa0305556012150b,0.563,0.866,7,-8.861,1,0.0499,0.154,0.0,0.579,0.582,125.884,audio_features,259840,4
Texas Twister,Little Feat,Representing the Mambo,27JL4aCCkDiPTwUWXF84am,29,https://p.scdn.co/mp3-preview/2548255a291ecf3b77be7d1e65c81d90702a7cd0?cid=3502c8805da84b25aa0305556012150b,0.573,0.887,9,-6.718,1,0.046,0.00209,0.00038,0.16,0.535,129.919,audio_features,287733,4
Doubleback,ZZ Top,Recycler,5do2NQzjriskVEaFM2z4ge,42,https://p.scdn.co/mp3-preview/299854c0e65989280518ccaf1d9a8116aae32fcd?cid=3502c8805da84b25aa0305556012150b,0.655,0.674,5,-10.187,1,0.0301,0.0698,0.000138,0.372,0.56,123.91,audio_features,236200,4
Cradle Of Love,Billy Idol,Charmed Life,5TSANSqPTD6nBG0NSJWmVB,55,,0.612,0.942,3,-4.588,1,0.0399,0.0163,3.9e-06,0.0909,0.622,144.038,audio_features,281467,4
Holy Water,Bad Company,Holy Water,6mrN5zMwHh391zfSKgSChr,48,https://p.scdn.co/mp3-preview/5a9003188ad25874a76295528db4e55a344598d2?cid=3502c8805da84b25aa0305556012150b,0.511,0.727,2,-10.372,1,0.0354,0.0534,1.09e-05,0.24,0.708,166.103,audio_features,246240,4
Across the River - Remastered,Bruce Hornsby and the Range,Greatest Radio Hits,46NF8v6zVkVS6ZJtsR4BAZ,26,https://p.scdn.co/mp3-preview/9937da4650125c74fa792634f4a5b0e0a52b2f75?cid=3502c8805da84b25aa0305556012150b,0.54,0.872,7,-4.894,1,0.0392,0.201,0.0329,0.293,0.776,75.062,audio_features,311013,4
The Other Side - Single Version,Aerosmith,Big Ones,2fcRBvP5G8mlJiTPXnfmE2,48,,0.56,0.973,2,-4.345,1,0.0466,0.0613,0.00161,0.394,0.829,126.854,audio_features,244200,4
Good Clean Fun,Allman Brothers Band,Seven Turns,7cIVAikDoNoEOjXKMWMFzZ,33,https://p.scdn.co/mp3-preview/ee7db3f682aa6813c349a0ce234a36473f5624cc?cid=3502c8805da84b25aa0305556012150b,0.544,0.683,5,-12.224,1,0.0318,0.107,0.00332,0.346,0.795,129.273,audio_features,308293,4
Brickyard Road - l,Johnny Van Zant,Brickyard Road,7G0hwJmqqFJmaM2h1HxRZZ,36,https://p.scdn.co/mp3-preview/2768f6356cba2cea74e0c3124b8fc9288d378df6?cid=3502c8805da84b25aa0305556012150b,0.446,0.568,6,-10.556,1,0.039,0.0537,9.71e-06,0.109,0.325,139.739,audio_features,400933,4
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,Blaze Of Glory,1sUTfgduT0WIQO8kXKXxLC,66,,0.55,0.618,7,-9.822,1,0.0307,0.0564,2.62e-05,0.0937,0.429,78.61,audio_features,335240,4
Suicide Blonde,INXS,X (Remastered),3dISHe66tFlOKqmom5Qr2n,66,,0.612,0.962,4,-5.36,0,0.0897,0.00228,0.00896,0.123,0.694,119.962,audio_features,232627,4
Concrete and Steel,ZZ Top,Recycler,3Y55JjpiaxICu4M40ekrNV,27,https://p.scdn.co/mp3-preview/a0d1831450beb32ed93b78d61d7b32af81d32e7c?cid=3502c8805da84b25aa0305556012150b,0.651,0.759,9,-10.126,1,0.0338,0.00226,0.000233,0.149,0.774,123.992,audio_features,229200,4
Hard To Handle,The Black Crowes,Shake Your Money Maker,05NYcsjJwOYq4jIiKPVj9p,74,,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,audio_features,188067,4
One And Only Man,Steve Winwood,Refugees Of The Heart,3Mjn7q1ubHIhTGwciFMrB9,26,,0.606,0.87,2,-9.012,0,0.0282,0.0119,0.00386,0.127,0.855,104.99,audio_features,302733,4
My Head's in Mississippi,ZZ Top,Recycler,6LPQVBRDTZK539mKAbyMHC,44,https://p.scdn.co/mp3-preview/c04e500cd2c5a67cd43fc73b2ff664fee064bbff?cid=3502c8805da84b25aa0305556012150b,0.504,0.73,2,-8.608,1,0.0462,0.00123,0.0156,0.0773,0.604,75.995,audio_features,261027,4
All This Time,Sting,The Soul Cages,2cu8WtQZdxGe3lbetlzeNe,53,,0.637,0.463,2,-13.122,1,0.0337,0.0852,0.000132,0.0483,0.451,127.084,audio_features,294333,4
She Talks To Angels,The Black Crowes,Shake Your Money Maker,5NK8jad728pj6YeqM5VJD4,68,,0.584,0.521,4,-5.782,1,0.0295,0.06,7.56e-05,0.22,0.317,160.058,audio_features,329400,4
Highwire - Live / Remastered 2009,The Rolling Stones,Flashpoint,7tlbHVveasgXlT0HmHXm5Y,31,,0.442,0.942,7,-2.669,1,0.0472,0.0177,0.00274,0.0455,0.809,126.884,audio_features,285573,4
Silent Lucidity - Remastered 2003,Queensrÿche,Empire - 20th Anniversary Edition,6OSyCAmXT4Gkd3OQ2aPOaF,63,,0.462,0.628,7,-5.659,1,0.0274,0.0534,0.00025,0.12,0.0981,140.049,audio_features,347760,4
Losing My Religion,R.E.M.,Out Of Time (25th Anniversary Edition),31AOj9sFz2gM0O3hMARRBx,87,,0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,audio_features,268427,4
Lift Me Up - Live,"Yes Featuring Jon Anderson, Trevor Rabin, Rick Wakeman",Live At The Apollo,3uNbPu2UiC49YCqTQWP1VX,20,,0.187,0.814,9,-6.003,1,0.0514,0.0112,6.62e-05,0.897,0.531,176.485,audio_features,431120,4
Poundcake,Van Halen,For Unlawful Carnal Knowledge,1S5QMC19YF0UjoKvnArjvH,41,https://p.scdn.co/mp3-preview/7b1975821683cabf0ec1b5c47fcb0ceb157229c5?cid=3502c8805da84b25aa0305556012150b,0.487,0.948,4,-7.754,1,0.043,0.000662,0.102,0.0506,0.242,105.395,audio_features,321707,4
Learning To Fly,Tom Petty and the Heartbreakers,Into The Great Wide Open,17S4XrLvF5jlGvGCJHgF51,74,,0.651,0.766,0,-9.935,1,0.0299,0.206,0.00103,0.362,0.949,116.74,audio_features,242107,4
Runaround,Van Halen,For Unlawful Carnal Knowledge,4de6wkaOy0nfnp9cIPkY8D,30,https://p.scdn.co/mp3-preview/94ab8e49ae0f820dafe0060cfa684c3afe82fe99?cid=3502c8805da84b25aa0305556012150b,0.585,0.867,8,-10.18,1,0.0284,0.027,0.000153,0.316,0.709,130.302,audio_features,261027,4
Out In The Cold,Tom Petty and the Heartbreakers,Into The Great Wide Open,3m8w70z3xjmSjpc30Bn2T2,37,,0.442,0.873,4,-7.436,1,0.0501,0.0674,2.4e-05,0.925,0.539,148.484,audio_features,221000,4
Dreamline - 2004 Remaster,Rush,Roll the Bones (2004 Remaster),1hM2HXmeYuEe1VTf0O1IFU,46,https://p.scdn.co/mp3-preview/450cb4d2c7b923658b332465f59d89d0d9a1202d?cid=3502c8805da84b25aa0305556012150b,0.628,0.884,9,-9.174,1,0.0389,0.0268,0.0156,0.336,0.59,146.429,audio_features,276813,4
Get A Leg Up,John Mellencamp,Whenever We Wanted,68cNgDnLSjxWeXtXo5QdvL,36,,0.6,0.914,2,-4.748,1,0.0468,0.00518,1.84e-06,0.0649,0.736,138.586,audio_features,227200,4
Top of the World - 2023 Remaster,Van Halen,For Unlawful Carnal Knowledge (2023 Remaster),27M2Kw8wLjgzoafLaWcfNx,40,https://p.scdn.co/mp3-preview/175d3fe286f46f25c26c5bc0c28e44457f583d51?cid=3502c8805da84b25aa0305556012150b,0.543,0.748,9,-10.955,1,0.0295,0.0417,1.3e-06,0.0545,0.801,127.895,audio_features,234132,4
Heavy Fuel,Dire Straits,On Every Street,1ydZRag9jS1VAXcUs8DAu9,55,,0.616,0.813,9,-8.069,1,0.0275,0.0164,0.0498,0.235,0.778,131.99,audio_features,309867,4
Mysterious Ways,U2,Achtung Baby (Deluxe Edition),50JK22El2PTIzZBU2liLDI,66,,0.674,0.659,8,-8.049,1,0.0277,0.00156,0.00765,0.108,0.697,99.768,audio_features,243587,4
Again Tonight,John Mellencamp,Whenever We Wanted,1UyrQJQQ4yynQugmLAbjoT,37,,0.665,0.887,7,-4.45,1,0.0328,0.00158,0.000957,0.101,0.908,119.32,audio_features,197693,4
Human Touch,Bruce Springsteen,Human Touch,1o53HbxmOy5TzThJdBaDZb,60,https://p.scdn.co/mp3-preview/fcbba1b171e965c532081fc55919c9b8f0f6cbce?cid=3502c8805da84b25aa0305556012150b,0.651,0.516,0,-13.628,1,0.0277,0.00244,5.93e-05,0.0973,0.453,115.154,audio_features,388800,4
