Song Name,Artist Name,Debut Date,Peak Pos,Peak Weeks,Peak Date
One Headlight,The Wallflowers,11.23.96,1,5 WKS,02.01.97
6th Avenue Heartache,The Wallflowers,06.22.96,10,12 Wks,08.17.96
The Difference,The Wallflowers,05.17.97,3,12 Wks,07.05.97
Heroes,The Wallflowers,05.09.98,4,12 Wks,06.20.98
Three Marlenas,The Wallflowers,10.11.97,21,12 Wks,10.25.97
Sleepwalker,The Wallflowers,09.30.00,26,12 Wks,10.21.00
Thorn In My Pride,The Black Crowes,05.30.92,1,4 WKS,08.22.92
Jealous Again,The Black Crowes,02.24.90,5,12 Wks,05.05.90
Hard To Handle,The Black Crowes,10.06.90,1,2 WKS,11.10.90
Kickin' My Heart Around,The Black Crowes,11.21.98,3,12 Wks,11.28.98
Remedy,The Black Crowes,04.25.92,1,11 WKS,05.02.92
Hotel Illness,The Black Crowes,10.10.92,1,6 WKS,11.28.92
She Talks To Angels,The Black Crowes,01.19.91,1,1 WKS,03.09.91
Twice As Hard,The Black Crowes,06.30.90,11,12 Wks,08.11.90
Seeing Things,The Black Crowes,05.11.91,2,12 Wks,06.22.91
Wiser Time,The Black Crowes,05.06.95,7,12 Wks,06.17.95
Soul Singing,The Black Crowes,06.30.01,12,12 Wks,08.18.01
Sting Me,The Black Crowes,05.30.92,1,2 WKS,07.18.92
Good Friday,The Black Crowes,07.13.96,3,12 Wks,08.03.96
Only A Fool,The Black Crowes,02.27.99,7,12 Wks,04.03.99
What Is And What Should Never Be,Jimmy Page & The Black Crowes,03.18.00,13,12 Wks,04.15.00
A Conspiracy,The Black Crowes,10.29.94,5,12 Wks,11.05.94
High Head Blues,The Black Crowes,01.28.95,8,12 Wks,02.18.95
Goodbye Daughters Of The Revolution,The Black Crowes,03.15.08,33,12 Wks,03.29.08
Blackberry,The Black Crowes,09.28.96,6,12 Wks,11.02.96
Sometimes Salvation,The Black Crowes,01.23.93,7,12 Wks,02.06.93
Lickin',The Black Crowes,04.21.01,9,12 Wks,05.19.01
Go Faster,The Black Crowes,06.12.99,24,12 Wks,07.03.99
Charming Mess,The Black Crowes,01.30.21,33,12 Wks,03.13.21
Ten Years Gone,Jimmy Page & The Black Crowes,08.05.00,33,12 Wks,09.02.00
Wanting And Waiting,The Black Crowes,01.27.24,18,12 Wks,03.02.24
Bad Luck Blue Eyes Goodbye,The Black Crowes,05.01.93,40,12 Wks,05.01.93
STILL IN THE GAME,Steve Winwood,08.07.82,8,12 Wks,09.18.82
Holding On,Steve Winwood,07.02.88,2,12 Wks,08.13.88
Don't You Know What The Night Can Do,Steve Winwood,07.02.88,1,2 WKS,09.17.88
Split Decision,Steve Winwood,07.19.86,3,12 Wks,09.13.86
Higher Love,Steve Winwood,06.14.86,1,4 WKS,07.19.86
One And Only Man,Steve Winwood,11.03.90,1,2 WKS,11.24.90
The Finer Things,Steve Winwood,02.07.87,5,12 Wks,03.21.87
Freedom Overspill,Steve Winwood,09.06.86,4,12 Wks,10.18.86
While You See A Chance,Steve Winwood,03.21.81,2,12 Wks,03.21.81
Another Deal Goes Down,Steve Winwood,01.05.91,10,12 Wks,02.16.91
Take It As It Comes,Steve Winwood,08.09.86,33,12 Wks,09.20.86
VALERIE,Steve Winwood,09.04.82,13,12 Wks,09.25.82
Roll With It,Steve Winwood,06.11.88,1,4 WKS,06.25.88
Arc Of A Diver,Steve Winwood,03.21.81,11,12 Wks,04.18.81
Valerie,Steve Winwood,10.10.87,13,12 Wks,11.14.87
Back In The High Life Again,Steve Winwood,11.22.86,19,12 Wks,12.20.86
Hearts On Fire,Steve Winwood,07.09.88,22,12 Wks,04.08.89
Talking Back To The Night,Steve Winwood,01.16.88,17,12 Wks,02.20.88
Put On Your Dancing Shoes,Steve Winwood,10.29.88,25,12 Wks,11.19.88
What It's Like,Everlast,11.21.98,1,1 WKS,02.13.99
Put Your Lights On,Santana Featuring Everlast,09.25.99,8,12 Wks,11.27.99
Ends,Everlast,04.10.99,13,12 Wks,05.22.99
Black Jesus,Everlast,09.30.00,30,12 Wks,12.02.00
Mas Tequila,Sammy Hagar,03.13.99,2,12 Wks,04.17.99
Both Sides Now,Sammy Hagar,10.25.97,11,12 Wks,11.22.97
I'll Fall In Love Again,Sammy Hagar,01.16.82,2,12 Wks,02.13.82
YOUR LOVE IS DRIVING ME CRAZY,Sammy Hagar,12.18.82,3,12 Wks,01.29.83
Little White Lie,Sammy Hagar,05.10.97,1,5 WKS,05.24.97
High Hopes,Sammy Hagar,03.19.94,4,12 Wks,04.23.94
I Can't Drive 55,Sammy Hagar,08.11.84,9,12 Wks,10.27.84
Things've Changed,Sammy Hagar And The Waboritas,10.26.02,35,12 Wks,12.21.02
Two Sides Of Love,Sammy Hagar,07.14.84,5,12 Wks,08.04.84
Marching To Mars,Sammy Hagar,08.09.97,3,12 Wks,09.20.97
Let Sally Drive (Ride Sally Ride),Sammy Hagar,12.16.00,16,12 Wks,02.10.01
Serious JUJU,Sammy Hagar,09.30.00,10,12 Wks,11.11.00
Winner Takes It All,Sammy Hagar,02.07.87,3,12 Wks,03.07.87
Give To Live,Sammy Hagar,06.13.87,1,3 WKS,07.11.87
REMEMBER THE HEROES,Sammy Hagar,01.15.83,6,12 Wks,01.29.83
FAST TIMES AT RIDGEMONT HIGH,Sammy Hagar,08.21.82,21,12 Wks,10.09.82
Shag,Sammy Hagar,06.26.99,22,12 Wks,07.24.99
Eagles Fly,Sammy Hagar,10.10.87,22,12 Wks,10.31.87
Boy's Night Out,Sammy Hagar,07.25.87,15,12 Wks,08.15.87
Returning Home,Sammy Hagar,08.29.87,20,12 Wks,09.19.87
I DON't NEED LOVE,Sammy Hagar,03.05.83,24,12 Wks,04.02.83
There's Only One Way To Rock,Sammy Hagar,03.13.82,31,12 Wks,03.13.82
Baby's On Fire,Sammy Hagar,04.03.82,35,12 Wks,04.17.82
Buying My Way Into Heaven,Sammy Hagar,07.02.94,36,12 Wks,07.16.94
Can't Get Loose,Sammy Hagar,05.01.82,49,12 Wks,05.01.82
My Name Is Human,Highly Suspect,10.01.16,1,8 WKS,12.03.16
Little One,Highly Suspect,05.20.17,2,12 Wks,09.23.17
Lydia,Highly Suspect,04.25.15,4,12 Wks,08.15.15
16,Highly Suspect,08.31.19,1,4 WKS,10.26.19
Natural Born Killer,Highly Suspect,07.09.22,1,1 WKS,10.29.22
Bloodfeather,Highly Suspect,11.14.15,5,12 Wks,02.27.16
These Days,Highly Suspect,03.07.20,10,12 Wks,07.04.20
Ice Cold,Highly Suspect,02.25.23,27,12 Wks,04.08.23
Canals,Highly Suspect,07.25.20,40,12 Wks,07.25.20
If You Could Only See,Tonic,04.12.97,1,5 WKS,06.28.97
Open Up Your Eyes,Tonic,07.13.96,2,12 Wks,10.12.96
You Wanted More,Tonic,07.03.99,3,12 Wks,08.28.99
Knock Down Walls,Tonic,11.13.99,20,12 Wks,12.25.99
Casual Affair,Tonic,02.01.97,8,12 Wks,03.08.97
A Life Of Illusion,Joe Walsh,05.16.81,1,1 WKS,06.20.81
Ordinary Average Guy,Joe Walsh,05.04.91,3,12 Wks,06.01.91
The Confessor,Joe Walsh,05.11.85,8,12 Wks,06.01.85
I CAN PLAY THAT ROCK 'N' ROLL,Joe Walsh,07.23.83,13,12 Wks,07.30.83
All Of A Sudden,Joe Walsh,07.20.91,13,12 Wks,08.17.91
The Radio Song,Joe Walsh,06.20.87,8,12 Wks,07.04.87
In My Car,Joe Walsh,07.25.87,14,12 Wks,08.15.87
Rivers (Of The Hidden Funk),Joe Walsh,06.06.81,35,12 Wks,07.18.81
WAFFLE STOMP,Joe Walsh,09.11.82,20,12 Wks,10.16.82
SPACE AGE WHIZ KIDS,Joe Walsh,07.09.83,21,12 Wks,07.16.83
Things,Joe Walsh,05.30.81,36,12 Wks,06.06.81
Vote For Me,Joe Walsh,08.22.92,10,12 Wks,08.22.92
DIRTY LAUNDRY,Don Henley,09.11.82,1,3 WKS,10.16.82
All She Wants To Do Is Dance,Don Henley,01.26.85,1,2 WKS,03.23.85
The Last Worthless Evening,Don Henley,09.16.89,4,12 Wks,11.11.89
I Will Not Go Quietly,Don Henley,07.08.89,2,12 Wks,08.26.89
The Boys Of Summer,Don Henley,11.10.84,1,4 WKS,12.15.84
The Heart Of The Matter,Don Henley,02.17.90,2,12 Wks,03.31.90
Sunset Grill,Don Henley,12.15.84,7,12 Wks,01.19.85
If Dirt Were Dollars,Don Henley,08.12.89,8,12 Wks,01.20.90
Who Owns This Place,Don Henley,11.01.86,3,12 Wks,12.13.86
The Garden Of Allah,Don Henley,11.25.95,16,12 Wks,01.13.96
The End Of The Innocence,Don Henley,06.24.89,1,4 WKS,07.01.89
Leather And Lace,Stevie Nicks With Don Henley,11.28.81,26,12 Wks,01.09.82
Workin' It,Don Henley,04.08.00,21,12 Wks,05.13.00
How Bad Do You Want It?,Don Henley,06.30.90,8,12 Wks,07.21.90
New York Minute,Don Henley,11.03.90,24,12 Wks,11.24.90
You Don't Know Me At All,Don Henley,02.24.96,22,12 Wks,03.09.96
Driving With Your Eyes Closed,Don Henley,04.13.85,9,12 Wks,05.11.85
Not Enough Love In The World,Don Henley,06.08.85,17,12 Wks,06.29.85
Through Your Hands,Don Henley,01.25.97,33,12 Wks,02.08.97
JOHNNY CAN't READ,Don Henley,08.21.82,29,12 Wks,09.04.82
Hello Again,The Cars,03.31.84,22,12 Wks,12.01.84
Drive,The Cars,06.02.84,3,12 Wks,08.04.84
Shake It Up,The Cars,11.28.81,2,12 Wks,01.23.82
Magic,The Cars,03.31.84,1,1 WKS,06.02.84
It's Not The Night,The Cars,06.09.84,31,12 Wks,07.28.84
Why Can't I Have You,The Cars,01.26.85,11,12 Wks,03.02.85
Cruiser,The Cars,12.26.81,37,12 Wks,03.06.82
You Might Think,The Cars,03.10.84,1,3 WKS,04.14.84
Tonight She Comes,The Cars,11.02.85,1,3 WKS,11.23.85
Strap Me In,The Cars,09.12.87,4,12 Wks,10.24.87
You Are The Girl,The Cars,08.29.87,2,12 Wks,09.05.87
Breakaway,The Cars,02.09.85,19,12 Wks,03.02.85
I'm Not The One,The Cars,02.22.86,29,12 Wks,03.01.86
Since You're Gone,The Cars,04.03.82,24,12 Wks,04.24.82
Double Trouble,The Cars,11.28.87,42,12 Wks,12.05.87
Victim Of Love,The Cars,02.27.82,39,12 Wks,03.06.82
Awake And Alive,Skillet,10.23.10,2,12 Wks,04.09.11
Legendary,Skillet,05.25.19,7,12 Wks,12.07.19
Monster,Skillet,08.08.09,4,12 Wks,01.09.10
Psycho In My Head,Skillet,01.21.23,19,12 Wks,07.08.23
Feel Invincible,Skillet,06.25.16,1,1 WKS,11.19.16
Not Gonna Die,Skillet,10.26.13,9,12 Wks,03.29.14
The Resistance,Skillet,08.19.17,10,12 Wks,12.23.17
Back From The Dead,Skillet,02.11.17,7,12 Wks,05.20.17
Hero,Skillet,04.10.10,15,12 Wks,06.19.10
Save Me,Skillet,04.11.20,18,12 Wks,08.08.20
Surviving The Game,Skillet,10.16.21,21,12 Wks,01.22.22
It's Not Me It's You,Skillet,07.02.11,11,12 Wks,10.22.11
Sick Of It,Skillet,05.04.13,9,12 Wks,08.24.13
Rise,Skillet,06.21.14,19,12 Wks,08.30.14
Savior,Skillet,05.22.04,26,12 Wks,06.26.04
Whispers In The Dark,Skillet,11.25.06,34,12 Wks,12.16.06
The Older I Get,Skillet,03.10.07,27,12 Wks,04.14.07
The Last Night,Skillet,04.05.08,38,12 Wks,05.10.08
I'm Not Jesus,Apocalyptica Featuring Corey Taylor,02.23.08,6,12 Wks,05.24.08
From Can To Can't,"Corey Taylor, Dave Grohl, Rick Nielsen & Scott Reeder",02.09.13,2,12 Wks,05.18.13
Black Eyes Blue,Corey Taylor,08.08.20,1,2 WKS,10.31.20
Beyond,Corey Taylor,06.03.23,1,1 WKS,09.23.23
Samantha's Gone,Corey Taylor,01.30.21,10,12 Wks,03.27.21
Maybe It's Time,"Sixx:A.M. Presents: Artists For Recovery Featuring Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION & Tommy Vext",09.05.20,12,12 Wks,10.24.20
We Are The Rest,Corey Taylor,01.20.24,21,12 Wks,03.02.24
XM@$,Corey Taylor,01.01.11,37,12 Wks,01.08.11
GOT A HOLD ON ME,Christine McVie,02.04.84,1,2 WKS,03.17.84
Love Will Show Us How,Christine McVie,04.07.84,24,12 Wks,05.19.84
One In A Million,Christine McVie,02.25.84,27,12 Wks,02.25.84
Bent To Fly,Slash Featuring Myles Kennedy And The Conspirators,12.13.14,3,12 Wks,05.23.15
Standing In The Sun,Slash Featuring Myles Kennedy And The Conspirators,08.18.12,4,12 Wks,11.24.12
You're A Lie,Slash Featuring Myles Kennedy And The Conspirators,03.17.12,1,2 WKS,07.07.12
World On Fire,Slash Featuring Myles Kennedy And The Conspirators,07.05.14,1,1 WKS,10.18.14
The River Is Rising,Slash Featuring Myles Kennedy And The Conspirators,11.06.21,8,12 Wks,02.05.22
Anastasia,Slash Featuring Myles Kennedy And The Conspirators,03.02.13,6,12 Wks,06.01.13
What I Want,Daughtry Featuring Slash,05.12.07,6,12 Wks,07.21.07
Driving Rain,Slash Featuring Myles Kennedy And The Conspirators,08.11.18,5,12 Wks,10.13.18
Mind Your Manners,Slash Featuring Myles Kennedy And The Conspirators,02.09.19,9,12 Wks,06.08.19
Maybe It's Time,"Sixx:A.M. Presents: Artists For Recovery Featuring Corey Taylor, Joe Elliott, Brantley Gilbert, Ivan Moody, Slash, AWOLNATION & Tommy Vext",09.05.20,12,12 Wks,10.24.20
By The Sword,Slash Featuring Andrew Stockdale,04.03.10,25,12 Wks,04.24.10
Back From Cali,Slash Featuring Myles Kennedy,07.31.10,24,12 Wks,08.28.10
Moving On,Asking Alexandria,08.30.14,6,12 Wks,02.14.15
Alone In A Room,Asking Alexandria,05.12.18,7,12 Wks,10.20.18
They Don't Want What We Want (And They Don't Care),Asking Alexandria,09.26.20,7,12 Wks,02.20.21
The Death Of Me,Asking Alexandria,06.08.13,23,12 Wks,11.02.13
Break Down The Walls,Asking Alexandria,02.01.14,17,12 Wks,06.14.14
Antisocialist,Asking Alexandria,03.21.20,3,12 Wks,07.04.20
Into The Fire,Asking Alexandria,10.21.17,13,12 Wks,02.10.18
Psycho,Asking Alexandria,07.01.23,1,4 WKS,10.07.23
Vultures,Asking Alexandria,02.16.19,9,12 Wks,06.15.19
Alone Again,Asking Alexandria,09.04.21,1,1 WKS,11.13.21
Never Gonna Learn,Asking Alexandria,01.22.22,6,12 Wks,05.07.22
I Won't Give In,Asking Alexandria,08.15.15,16,12 Wks,11.14.15
Here I Am,Asking Alexandria,04.09.16,11,12 Wks,07.16.16
Faded Out,Asking Alexandria Featuring Within Tempation,07.02.22,14,12 Wks,09.24.22
The Retaliators Theme (21 Bullets),"The Retaliators Featuring Motley Crue, Asking Alexandria, Ice Nine Kills & From Ashes To New",08.20.22,15,12 Wks,11.05.22
Dark Void,Asking Alexandria,01.27.24,11,12 Wks,03.02.24
I Can't Hold Back,Survivor,09.15.84,1,3 WKS,10.27.84
High On You,Survivor,12.15.84,8,12 Wks,02.23.85
Poor Man's Son,Survivor,11.14.81,19,12 Wks,01.09.82
Eye Of The Tiger,Survivor,06.12.82,1,5 WKS,07.03.82
Burning Heart,Survivor,11.09.85,11,12 Wks,12.14.85
Is This Love,Survivor,11.08.86,27,12 Wks,11.29.86
CAUGHT IN THE GAME,Survivor,10.22.83,16,12 Wks,11.12.83
Didn't Know It Was Love,Survivor,10.22.88,40,12 Wks,10.29.88
HEAT OF THE MOMENT,Asia,04.03.82,1,6 WKS,04.24.82
ONLY TIME WILL TELL,Asia,05.01.82,8,12 Wks,07.31.82
SOLE SURVIVOR,Asia,04.03.82,10,12 Wks,05.29.82
WILDEST DREAMS,Asia,04.10.82,28,12 Wks,05.29.82
DON't CRY,Asia,08.06.83,1,1 WKS,08.20.83
Go,Asia,11.09.85,7,12 Wks,12.14.85
THE SMILE HAS LEFT YOUR EYES,Asia,10.29.83,25,12 Wks,11.05.83
THE HEAT GOES ON,Asia,08.20.83,5,12 Wks,09.24.83
True Colors,Asia,08.20.83,20,12 Wks,09.10.83
Days Like These,Asia,08.18.90,2,12 Wks,09.15.90
Too Late,Asia,01.11.86,30,12 Wks,01.25.86
DAYLIGHT,Asia,08.27.83,24,12 Wks,09.03.83
HERE COMES THE FEELING,Asia,07.03.82,40,12 Wks,07.03.82
TIME AGAIN,Asia,07.31.82,43,12 Wks,07.31.82
Daughter/Yellow Ledbetter,Pearl Jam,10.30.93,1,8 WKS,12.04.93
Better Man,Pearl Jam,12.10.94,1,8 WKS,01.07.95
I Got Id/Long Road,Pearl Jam,12.09.95,2,12 Wks,01.20.96
Alive,Pearl Jam,01.04.92,16,12 Wks,02.22.92
Black,Pearl Jam,12.26.92,3,12 Wks,03.20.93
Even Flow,Pearl Jam,05.02.92,3,12 Wks,07.18.92
Elderly Woman Behind The Counter In A Small Town (Live),Pearl Jam,06.11.94,21,12 Wks,12.19.98
Dissident,Pearl Jam,03.12.94,3,12 Wks,05.21.94
Given To Fly,Pearl Jam,01.03.98,1,6 WKS,01.24.98
In Hiding,Pearl Jam,02.21.98,14,12 Wks,08.29.98
Corduroy,Pearl Jam,01.21.95,22,12 Wks,03.11.95
Sirens,Pearl Jam,10.12.13,6,12 Wks,12.28.13
Lightning Bolt,Pearl Jam,03.15.14,6,12 Wks,05.03.14
The Fixer,Pearl Jam,08.08.09,10,12 Wks,08.29.09
Mind Your Manners,Pearl Jam,07.27.13,2,12 Wks,09.07.13
Superblood Wolfmoon,Pearl Jam,02.29.20,4,12 Wks,05.16.20
Jeremy,Pearl Jam,08.22.92,5,12 Wks,10.17.92
World Wide Suicide,Pearl Jam,03.25.06,2,12 Wks,04.08.06
Yellow Ledbetter,Pearl Jam,09.03.94,21,12 Wks,10.29.94
Last Kiss,Pearl Jam,05.29.99,5,12 Wks,07.03.99
Brother,Pearl Jam,03.07.09,5,12 Wks,04.18.09
I Am Mine,Pearl Jam,10.05.02,7,12 Wks,10.12.02
Immortality,Pearl Jam,07.08.95,10,12 Wks,09.02.95
Wishlist,Pearl Jam,04.25.98,6,12 Wks,06.27.98
Hail Hail,Pearl Jam,09.14.96,9,12 Wks,11.02.96
Life Wasted,Pearl Jam,06.10.06,13,12 Wks,07.08.06
Animal,Pearl Jam,10.30.93,21,12 Wks,03.19.94
Can't Deny Me,Pearl Jam,03.24.18,11,12 Wks,04.28.18
Not For You,Pearl Jam,04.01.95,12,12 Wks,05.13.95
Nothing As It Seems,Pearl Jam,04.29.00,3,12 Wks,05.06.00
Who You Are,Pearl Jam,08.10.96,5,12 Wks,08.17.96
Light Years,Pearl Jam,07.01.00,17,12 Wks,08.05.00
Save You,Pearl Jam,12.28.02,23,12 Wks,01.25.03
Go,Pearl Jam,10.16.93,3,12 Wks,10.16.93
Just Breathe,Pearl Jam,02.06.10,36,12 Wks,02.27.10
Dance Of The Clairvoyants,Pearl Jam,02.01.20,17,12 Wks,02.15.20
Leaving Here,Pearl Jam,03.09.96,24,12 Wks,03.30.96
Tremor Christ,Pearl Jam,11.19.94,16,12 Wks,11.26.94
Love Reign O'er Me,Pearl Jam,04.07.07,32,12 Wks,04.14.07
Crazy Mary,Pearl Jam,09.18.93,26,12 Wks,10.09.93
Red Mosquito,Pearl Jam,09.14.96,37,12 Wks,09.14.96
Spin The Black Circle,Pearl Jam,11.19.94,16,12 Wks,11.19.94
Off He Goes,Pearl Jam,01.25.97,34,12 Wks,02.01.97
Do The Evolution,Pearl Jam,10.10.98,40,12 Wks,10.10.98
Dark Matter,Pearl Jam,02.24.24,6,12 Wks,03.02.24
Glorified G,Pearl Jam,07.02.94,39,12 Wks,07.02.94
Trenches,Pop Evil,03.23.13,1,4 WKS,07.13.13
Footsteps,Pop Evil,06.20.15,1,4 WKS,10.03.15
Monster You Made,Pop Evil,06.25.11,6,12 Wks,11.26.11
100 In A 55,Pop Evil,12.06.08,8,12 Wks,05.30.09
Be Legendary,Pop Evil,11.03.18,2,12 Wks,05.04.19
Last Man Standing,Pop Evil,11.06.10,7,12 Wks,04.09.11
Paranoid (Crash & Burn),Pop Evil,10.29.22,5,12 Wks,04.08.23
Breathe Again,Pop Evil,11.28.20,1,1 WKS,05.08.21
Skeletons,Pop Evil,06.03.23,1,1 WKS,11.11.23
If Only For Now,Pop Evil,11.19.16,5,12 Wks,04.29.17
Deal With The Devil,Pop Evil,08.31.13,1,1 WKS,12.28.13
Torn To Pieces,Pop Evil,02.22.14,1,2 WKS,06.07.14
Waking Lions,Pop Evil,11.18.17,1,1 WKS,03.24.18
Take It All,Pop Evil,05.14.16,3,12 Wks,09.03.16
Boss's Daughter,Pop Evil,01.28.12,9,12 Wks,05.26.12
Eye Of The Storm,Pop Evil,05.07.22,2,12 Wks,09.03.22
Survivor,Pop Evil,07.03.21,1,2 WKS,10.16.21
Beautiful,Pop Evil,09.13.14,7,12 Wks,12.27.14
Purple,Pop Evil,08.18.12,18,12 Wks,11.24.12
Hero,Pop Evil,05.31.08,24,12 Wks,08.30.08
Ways To Get High,Pop Evil,11.28.15,2,12 Wks,02.20.16
Work,Pop Evil,05.16.20,8,12 Wks,08.29.20
A Crime To Remember,Pop Evil,05.26.18,7,12 Wks,08.25.18
Breathe,Pop Evil,09.19.09,30,12 Wks,11.07.09
Jukebox Hero,Foreigner,07.25.81,3,12 Wks,10.03.81
URGENT,Foreigner,07.18.81,1,4 WKS,07.25.81
That Was Yesterday,Foreigner,01.19.85,4,12 Wks,04.13.85
Night Life,Foreigner,08.01.81,14,12 Wks,11.14.81
Heart Turns To Stone,Foreigner,12.19.87,7,12 Wks,02.06.88
I Want To Know What Love Is,Foreigner,12.08.84,1,1 WKS,01.19.85
Can't Wait,Foreigner,02.13.88,18,12 Wks,03.26.88
Waiting For A Girl Like You,Foreigner,11.21.81,1,1 WKS,12.05.81
Say You Will,Foreigner,12.05.87,1,4 WKS,12.19.87
Lowdown And Dirty,Foreigner,06.22.91,4,12 Wks,07.06.91
I Don't Want To Live Without You,Foreigner,03.26.88,18,12 Wks,04.23.88
Soul Doctor,Foreigner,09.26.92,5,12 Wks,10.10.92
Under The Gun,Foreigner,02.25.95,28,12 Wks,03.25.95
I'll Fight For You,Foreigner,08.24.91,42,12 Wks,09.07.91
Tooth and Nail,Foreigner,01.05.85,47,12 Wks,01.05.85
Reaction To Action,Foreigner,02.02.85,44,12 Wks,02.02.85
Too Late For Goodbyes,Julian Lennon,12.08.84,11,12 Wks,02.02.85
Stick Around,Julian Lennon,03.22.86,1,3 WKS,04.26.86
Valotte,Julian Lennon,10.20.84,2,12 Wks,11.24.84
Say You're Wrong,Julian Lennon,04.20.85,3,12 Wks,05.18.85
Now You're In Heaven,Julian Lennon,03.18.89,1,1 WKS,04.15.89
Listen,Julian Lennon,08.24.91,31,12 Wks,09.14.91
Hated,Beartooth,09.24.16,6,12 Wks,04.01.17
Riptide,Beartooth,07.30.22,11,12 Wks,01.07.23
Disease,Beartooth,08.11.18,9,12 Wks,12.15.18
The Past Is Dead,Beartooth,04.10.21,14,12 Wks,09.18.21
You Never Know,Beartooth,04.27.19,16,12 Wks,09.28.19
Sick Of Me,Beartooth,05.20.17,16,12 Wks,08.12.17
In Between,Beartooth,06.06.15,20,12 Wks,09.19.15
Might Love Myself,Beartooth,08.12.23,1,1 WKS,11.18.23
Skin,Beartooth,02.05.22,23,12 Wks,04.02.22
Aggressive,Beartooth,06.11.16,34,12 Wks,07.02.16
Beaten In Lips,Beartooth,01.24.15,33,12 Wks,02.07.15
I Was Alive,Beartooth,01.27.24,14,12 Wks,02.24.24
Black Velvet,Alannah Myles,12.09.89,1,2 WKS,02.17.90
Love Is,Alannah Myles,05.12.90,19,12 Wks,05.26.90
N.I.B.,Primus With Ozzy,07.15.00,2,12 Wks,10.07.00
"Mama, I'm Coming Home",Ozzy Osbourne,12.14.91,2,12 Wks,03.07.92
I Don't Wanna Stop,Ozzy Osbourne,04.28.07,1,5 WKS,07.07.07
Gets Me Through,Ozzy Osbourne,09.15.01,2,12 Wks,09.22.01
Back On Earth,Ozzy Osbourne,11.01.97,3,12 Wks,11.22.97
Flying High Again,Ozzy Osbourne,11.14.81,2,12 Wks,01.16.82
No More Tears,Ozzy Osbourne,09.21.91,10,12 Wks,11.09.91
Perry Mason,Ozzy Osbourne,10.14.95,3,12 Wks,11.18.95
Dreamer,Ozzy Osbourne,12.08.01,10,12 Wks,02.02.02
Crazy Train,Ozzy Osbourne,04.18.81,9,12 Wks,07.04.81
Under The Graveyard,Ozzy Osbourne,11.16.19,1,6 WKS,12.14.19
Road To Nowhere,Ozzy Osbourne,05.09.92,3,12 Wks,06.27.92
Not Going Away,Ozzy Osbourne,08.04.07,14,12 Wks,10.13.07
Let Me Hear You Scream,Ozzy Osbourne,05.01.10,1,4 WKS,07.03.10
Life Won't Wait,Ozzy Osbourne,09.04.10,12,12 Wks,11.06.10
Ordinary Man,Ozzy Osbourne Featuring Elton John,02.29.20,7,12 Wks,05.30.20
Patient Number 9,Ozzy Osbourne Featuring Jeff Beck,07.02.22,1,3 WKS,07.30.22
One Of Those Days,Ozzy Osbourne Featuring Eric Clapton,09.24.22,3,12 Wks,12.17.22
See You On The Other Side,Ozzy Osbourne,12.23.95,5,12 Wks,02.24.96
Time After Time,Ozzy Osbourne,10.10.92,6,12 Wks,12.12.92
Straight To Hell,Ozzy Osbourne,12.07.19,16,12 Wks,02.01.20
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,10.05.19,26,12 Wks,01.18.20
Black Rain,Ozzy Osbourne,12.08.07,19,12 Wks,02.16.08
You Cant Kill Rock And Roll,Ozzy Osbourne,01.23.82,41,12 Wks,02.27.82
Bark At The Moon,Ozzy Osbourne,12.10.83,12,12 Wks,01.07.84
Shot In The Dark,Ozzy Osbourne,02.08.86,10,12 Wks,04.05.86
Changes,Ozzy Osbourne,06.05.93,9,12 Wks,06.19.93
Mississippi Queen,Ozzy Osbourne,03.12.05,10,12 Wks,04.09.05
A Thousand Shades,Ozzy Osbourne Featuring Jeff Beck,03.04.23,18,12 Wks,03.25.23
Let It Die,Ozzy Osbourne,02.05.11,21,12 Wks,02.26.11
Close My Eyes Forever,Lita Ford (Duet With Ozzy Osbourne),04.29.89,25,12 Wks,06.17.89
Iron Man/Children Of The Grave,Ozzy Osbourne,12.25.82,32,12 Wks,01.29.83
Over The Mountain,Ozzy Osbourne,02.06.82,38,12 Wks,03.13.82
Walk On Water,Ozzy Osbourne,11.23.96,28,12 Wks,12.28.96
I Just Want You,Ozzy Osbourne,05.18.96,24,12 Wks,06.08.96
PARANOID,Ozzy Osbourne,12.25.82,25,12 Wks,01.22.83
Shock The Monkey,Coal Chamber Featuring Ozzy Osbourne,10.16.99,26,12 Wks,11.06.99
ROCK 'N' ROLL REBEL,Ozzy Osbourne,02.11.84,40,12 Wks,03.03.84
Mr. Tinkertrain,Ozzy Osbourne,09.19.92,34,12 Wks,09.26.92
Figure It Out,Royal Blood,08.23.14,3,12 Wks,12.06.14
Trouble's Coming,Royal Blood,10.03.20,1,2 WKS,02.13.21
Lights Out,Royal Blood,05.06.17,1,3 WKS,08.26.17
Little Monster,Royal Blood,03.28.15,1,1 WKS,07.25.15
Out Of The Black,Royal Blood,03.22.14,2,12 Wks,06.28.14
I Only Lie When I Love You,Royal Blood,10.28.17,1,6 WKS,01.03.18
Typhoons,Royal Blood,04.03.21,9,12 Wks,07.24.21
Hole In Your Heart,Royal Blood,03.31.18,10,12 Wks,05.19.18
Pull Me Through,Royal Blood,08.19.23,20,12 Wks,10.07.23
The Red,Chevelle,07.20.02,3,12 Wks,02.01.03
